Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,9/15/16,8.4,Park Plaza County Hall London, Kazakhstan , No drinking water in the room,7,6117, Location View Very nice staff Pretty good spa,9,15,8.3,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",322 day,51.5014001,-0.1160092
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,2/12/17,7.7,Grand Royale London Hyde Park, Kazakhstan , Room is very small and very cold,8,6539,No Positive,0,2,3.3,"[' Business trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",172 day,51.5109945,-0.1863417
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,2/21/16,7.7,Grand Royale London Hyde Park, Kazakhstan , The room was very small I did not have any space in the bathroom ,16,6539, Welcoming staff,3,1,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ']",529 day,51.5109945,-0.1863417
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,628,6/2/17,8.1,Crowne Plaza London Kings Cross, Kazakhstan , Housekeeping cleaning of the room If you don t leave money housekeeping will not leave shampoo toilet paper and water Location of hotel is great it s the real center of London Breakfast is good but a bit expensive ,41,2312, The best is location of the hotel It s the real center of London ,16,3,6.3,"[' Business trip ', ' Solo traveler ', ' Double Room with Two Double Beds ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",62 days,51.5263854,-0.1136042
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,11/5/15,8.3,Novotel London West, Kazakhstan , room not executive standard restaurant too expensive and went out to eat everyday,14,2443, staff,2,1,4.2,"[' Business trip ', ' Solo traveler ', ' Executive Room ', ' Stayed 2 nights ']",637 day,51.4919588,-0.2200956
10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,303,3/4/16,9.3,The Nadler Victoria, Kazakhstan , Lights in the room not feebly It is not bad but I prefer more light,16,1608, Clean room Good equipment Good location,7,1,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 7 nights ']",517 day,51.4990259,-0.1427453
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,4/7/17,8.0,Doubletree by Hilton London Kensington, Kazakhstan , Hotel is worn Problems with hot water running from cold tab ,13,2367, Location is good Easy access to Piccadilly line to go directly to from airport ,16,4,6.7,"[' Leisure trip ', ' Solo traveler ', ' Twin Superior Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",118 day,51.4925138,-0.1787917
101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,302,1/6/16,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel, Kazakhstan ,No Negative,0,901, One of the best hotels I have ever been,10,1,10.0,"[' Leisure trip ', ' Group ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",575 day,51.5014191,-0.1625805
101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,302,12/4/15,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel, Kazakhstan , Front desk was mot super nice and they couldnt help me with my issues ,16,901,No Positive,0,3,6.7,"[' Business trip ', ' Solo traveler ', ' Classic Room ', ' Stayed 3 nights ']",608 day,51.5014191,-0.1625805
109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,212,12/21/16,8.7,The Kensington Hotel, Kazakhstan , Small rooms not so clean ,7,874, Excellent location,3,1,8.3,"[' Couple ', ' Superior Double Room ', ' Stayed 5 nights ']",225 day,51.4925478,-0.1780611
11 Rue d Astorg 8th arr 75008 Paris France,19,8/7/16,7.5,Hotel Astor Saint Honor , Kazakhstan , monotonous breakfast,3,101,No Positive,0,1,9.6,"[' Business trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",361 day,48.8728324,2.3193886
11 rue de Tr vise 9th arr 75009 Paris France,111,5/3/17,8.3,H tel Diva Opera, Kazakhstan , The smell of vinegar,5,1353,No Positive,0,1,7.5,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room ', ' Stayed 11 nights ']",92 days,48.8732706,2.3450746
11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,10/17/16,8.5,The Rembrandt, Kazakhstan , Customer service,3,1802, Location,2,2,3.8,"[' Business trip ', ' Solo traveler ', ' Grand Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",290 day,51.4959227,-0.1702917
11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,9/28/16,8.5,The Rembrandt, Kazakhstan , Customer Service is zero ,6,1802, Location,2,2,2.9,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",309 day,51.4959227,-0.1702917
111 avenue de la Bourdonnais 7th arr 75007 Paris France,178,10/27/16,8.8,H tel de la Bourdonnais, Kazakhstan , Rooms in reality do not correspond to pictures on website No hair conditioner in the rooms very weak hair dryer ,22,1337, Very nice location easy to reach all most interesting things Good breakfast Very good coffee place just around the corner La terrace ,24,2,7.5,"[' Business trip ', ' Travelers with friends ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",280 day,48.8550466,2.304583
117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,3/19/16,7.8,Park International Hotel, Kazakhstan , No free WiFi in the hotel This is ridiculous You can only have WiFi in the lobby for 1 hour Air conditioner is locked on cooling no any option of getting fresh air without opening the window Something stinks on the way from the lobby to the elevator ,50,1252, Nice district easy to find the hotel underground station is near supermarket is nearby ,16,27,6.7,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",502 day,51.4945144,-0.1866172
12 boulevard Malesherbes 8th arr 75008 Paris France,139,5/29/16,8.4,Waldorf Madeleine, Kazakhstan , Breakfast is expensive for the variety of food they serve the room where it is served is very very small But you can have your breakfast outside the hotel a number of good cafes around ,37,1184, The best welcome and introduction I ve ever seen If you re met at the reception by Marc you will get sincere welcome and great introduction to the hotel and Paris with passion and humor He made our day Room was not too spacious all necessary things present including coffee machine Great location close to Boulevard Haussmann shops and Louvre In overall good hotel for the price we paid ,71,8,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",431 day,48.8715828,2.3224853
130 134 Southampton Row Camden London WC1B 5AF United Kingdom,299,7/29/16,8.3,Mercure London Bloomsbury Hotel, Kazakhstan , The washbasin taps in the bathroom are located too close to the basin As I have stayed in a number of different rooms it seems a common feature ,30,1361, I liked the friendliness of the staff ,9,3,9.6,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 2 nights ']",370 day,51.5210085,-0.1230966
14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,6/21/17,7.5,Saint Georges Hotel, Kazakhstan , The property itself looks a bit tired incide,9,2092, location was perfect for us as we planned our time as a mixture of business and leisure with some shopping Very close to the oxford circus and public transportation with lots of restaurant nearby ,36,12,8.3,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",43 days,51.517839,-0.1424476
14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,10/6/16,7.5,Saint Georges Hotel, Kazakhstan , I was wrongly charged for using the mini bar ,11,2092,No Positive,0,9,7.9,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",301 day,51.517839,-0.1424476
14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,289,12/5/15,8.8,Park Grand London Lancaster Gate, Kazakhstan , Some smell in the shower space though it was clean ,12,1519, Very friendly stuff Georgia at the reception was able to find me me available room for early check in This is much appreciated by me after 10 hours of travel ,32,3,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",607 day,51.5132069,-0.1807816
140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,528,6/24/17,8.7,The Bailey s Hotel London, Kazakhstan , All,2,2485,No Positive,0,43,4.6,"[' Family with young children ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",40 days,51.4938733,-0.1824963
146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,1/17/17,8.2,Hilton London Paddington, Kazakhstan , Breakfast was very poor does not worth their money I m not recommending to include breakfast and bathroom was a little dirty but tolerable ,26,2898, Location great especially who s travel by train and comfort on the high level Room was very spacious and big for London standard ,25,3,7.9,"[' Business trip ', ' Family with young children ', ' Double Guest Room ', ' Stayed 2 nights ']",198 day,51.515632,-0.175737
146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,6/30/16,8.2,Hilton London Paddington, Kazakhstan , deposit for bar was on hold for about 10 working days,12,2898, Large rooms very good breakfast very close to underground and train station convenient location for any purpose of trip,20,6,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",399 day,51.515632,-0.175737
15 Rue Des Pyramides 1st arr 75001 Paris France,28,4/4/16,8.7,Hotel Lumen Paris Louvre, Kazakhstan , Dark room,3,289, Breakfast location Staff,4,1,8.3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",486 day,48.8652582,2.3329632
15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,256,11/18/15,8.2,The Leonard Hotel, Kazakhstan ,No Negative,0,1330, Perfect,2,6,9.6,"[' Leisure trip ', ' Family with young children ', ' Two Bedroom Suite ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",624 day,51.5147071,-0.1578291
150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,3/25/17,8.4,DoubleTree by Hilton London Hyde Park, Kazakhstan , No stand dryers,4,2405, Service location clean rooms,5,2,9.5,"[' Leisure trip ', ' Family with young children ', ' Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",131 day,51.5100362,-0.190657
152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,9/11/16,8.0,Clayton Crown Hotel London, Kazakhstan ,No Negative,0,2491, Bed super Very comfortable soft and large Excellent bedding ,11,3,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double and Single Room ', ' Stayed 4 nights ']",326 day,51.5561548,-0.2141824
16 rue de Berri 8th arr 75008 Paris France,219,8/25/15,8.2,H tel California Champs Elys es, Kazakhstan , The longest checkin ever in my life,8,1332, Location,2,22,8.8,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",709 day,48.8726335,2.3048084
16 rue de S ze 9th arr 75009 Paris France,61,9/28/15,9.2,Hotel de Seze, Kazakhstan ,No Negative,0,489, Location is fine and staff of hotel was good,10,1,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",675 day,48.8705741,2.3264194
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,7/4/17,7.1,Britannia International Hotel Canary Wharf, Kazakhstan , Absence of safe box in a room No fridge Wifi is free for only 20 minutes a day Fungus in bathroom room 933 Air conditioning was poor ,29,9086, Location Near business centers ,6,1,5.0,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 16 nights ', ' Submitted from a mobile device ']",30 days,51.5019097,-0.0232208
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,1/6/17,7.1,Britannia International Hotel Canary Wharf, Kazakhstan , Electricity shut down the last day for a half day There was no a fridge in a room,19,9086, We easily got an additional heater,7,1,7.1,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room without Window ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",209 day,51.5019097,-0.0232208
17 rue de l Arcade 8th arr 75008 Paris France,230,3/14/17,8.6,H tel Bedford, Kazakhstan ,No Negative,0,1703, Super hotel For sure I will stay here again next time ,13,2,9.2,"[' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",142 day,48.8720593,2.3236802
17 rue de Richelieu 1st arr 75001 Paris France,5,5/8/17,8.9,Drawing Hotel, Kazakhstan , Bathroom,2,67, Location,2,5,7.5,"[' Group ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",87 days,48.8644382,2.3359148
17 Rue Du Cotentin 15th arr 75015 Paris France,144,8/12/15,8.1,Novotel Paris Centre Gare Montparnasse, Kazakhstan , The place is clearly overpriced Breakfast is an expensive joke of poor quality ,15,1363, Location,2,11,5.0,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 1 Child ', ' Stayed 3 nights ']",722 day,48.838484,2.3150904
177 rue du faubourg Saint Honor 8th arr 75008 Paris France,59,10/23/16,8.7,Hotel Champs Elys es Friedland by Happyculture, Kazakhstan ,No Negative,0,424, friendly staff easy and free print out downstairs,9,16,7.9,"[' Business trip ', ' Solo traveler ', ' Standard Double Room with Tea Time Included ', ' Stayed 2 nights ']",284 day,48.8750848,2.3048372
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,8/3/17,8.3,Park Plaza London Riverbank, Kazakhstan , more comfortable orthopedic mattress is our personal preference for better sleep,12,4684, tasty breakfasts beautiful window view and kind helpful staff there created amazing atmosphere of our pleasant mornings our special thanks are to the Manager Vasiliy as well as to Vasile and Alina who mainly contributed to our positive mood and amazing pleasant staying in the hotel ,48,5,9.2,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 6 nights ']",0 days,51.4913737,-0.1214194
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,7/22/17,8.3,Park Plaza London Riverbank, Kazakhstan , noise from rail when window is opened,8,4684, unique riverside location modern room design convenient lighting system bed comfort,12,5,7.9,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ']",12 days,51.4913737,-0.1214194
18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,428,3/9/17,8.6,Pullman Paris Tour Eiffel, Kazakhstan ,No Negative,0,2764, View from the window,5,3,9.2,"[' Family with young children ', ' Classic Double Room with Garden View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",147 day,48.8555664,2.2926243
18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,428,12/23/16,8.6,Pullman Paris Tour Eiffel, Kazakhstan ,No Negative,0,2764, All,2,1,7.5,"[' Leisure trip ', ' Family with young children ', ' Classic Twin Room with Garden View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",223 day,48.8555664,2.2926243
19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,355,1/25/17,8.0,Courthouse Hotel London, Kazakhstan , hot water needs to be more consistent not a Biggy but noticeable at certain time of the day ,20,1786, Great location staff very helpful very comfortable facilities with casual atmosphere,12,3,8.3,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ']",190 day,51.5143624,-0.1394483
2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,617,2/5/17,8.8,Royal Garden Hotel, Kazakhstan ,No Negative,0,2213, My favorite hotel in London Park Kensington shopping Whole Foods store restaurants comfortable rooms Aristocratism in everything A very special atmosphere and very special place that makes you happy ,31,13,9.6,"[' Business trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",179 day,51.5027022,-0.1882164
2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,6/6/16,9.3,Hilton London Bankside, Kazakhstan , Staff tried to cheat us They continuously kept taking money from our credit cards even after our stay without our acknowledgment The money was returned only after a scandal my bank account went overdraft because of them they told us it was a mistake but you do not take over 1000 pounds by mistake so I don t believe them fraud they just got caught also no compensation from them beware of this hotel,75,2319,No Positive,0,29,5.8,"[' Couple ', ' Twin Guest Room ', ' Stayed 3 nights ']",423 day,51.5056956,-0.101525
